car_name,price_lakh,mileage_kmpl,fuel_type
Tata Nexon EV,14,312,Electric
Hyundai Creta,16,21,Petrol
Maruti Swift,8,23,Petrol
Kia Seltos,15,20,Diesel
MG ZS EV,24,419,Electric
Toyota Innova Hycross,28,23,Hybrid
Honda City,13,18,Petrol
Mahindra XUV700,21,15,Diesel
Hyundai i20,9,20,Petrol
Maruti Alto K10,5,24,Petrol
Skoda Slavia,14,19,Petrol
Tata Harrier,22,16,Diesel
Toyota Fortuner,45,12,Diesel
BYD Atto 3,34,521,Electric
Hyundai Verna,15,20,Petrol
Jeep Compass,25,14,Diesel
Maruti Grand Vitara,19,27,Hybrid
Kia EV6,60,708,Electric
Renault Kwid,6,22,Petrol
Honda Amaze,8,18,Petrol
